First Name,Last Name,Email,Department,Phone Extension,Office Number
Eddard,Stark,Ned@westeros.net,Research & Development,100,100
Benjen,Stark,ColdHands@westeros.net,Auditing,601,194
Catelyn,Stark,Mother@westeros.net,Human Resources,302,130
Arya,Stark,A_Girl@westeros.net,Research & Development,103,177
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,111
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,134
Bran,Stark,TheRaven@westeros.net,Research & Development,106,190
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,163
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,190
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,175
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,112
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,111
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,164
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,182
Renly,Baratheon,SummerKing@westeros.net,Sales,514,198
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,132
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,108
